id,cai_section,difficulty,time,km,ascent,download_link,description
166A,Fabriano,E,0:10,0^6,64,https://www.caifabriano.it/wp/cpc/?wpfb_dl=149,dummy description
166B,Fabriano,E,0:20,1^2,65,https://www.caifabriano.it/wp/cpc/?wpfb_dl=150,dummy description
167A,Fabriano,E,0:30,1^3,90,https://www.caifabriano.it/wp/cpc/?wpfb_dl=152,dummy description
168A,Fabriano,E,0:10,0^6,68,https://www.caifabriano.it/wp/cpc/?wpfb_dl=154,dummy description
168C,Fabriano,E,0:25,0^9,154,https://www.caifabriano.it/wp/cpc/?wpfb_dl=155,dummy description
168D,Fabriano,E,0:30,1^8,399,https://www.caifabriano.it/wp/cpc/?wpfb_dl=156,dummy description
168E,Fabriano,E,0:30,1^5,213,https://www.caifabriano.it/wp/cpc/?wpfb_dl=157,dummy description
168F,Fabriano,E,0:25,0^9,49,https://www.caifabriano.it/wp/cpc/?wpfb_dl=158,dummy description
169A,Fabriano,E,0:20,1^5,169,https://www.caifabriano.it/wp/cpc/?wpfb_dl=160,dummy description
172A,Fabriano,E,0:15,0^4,73,https://www.caifabriano.it/wp/cpc/?wpfb_dl=164,dummy description
172B,Fabriano,E,0:40,1^5,31,https://www.caifabriano.it/wp/cpc/?wpfb_dl=165,dummy description
173A,Jesi,E,1:00,2^1,142,https://www.caifabriano.it/wp/cpc/?wpfb_dl=167,dummy description
173B,Jesi,E,0:10,0^5,79,https://www.caifabriano.it/wp/cpc/?wpfb_dl=168,dummy description
173C,Jesi,EE,1:45,2^5,504,https://www.caifabriano.it/wp/cpc/?wpfb_dl=169,dummy description
173D,Fabriano,E,1:00,1^5,327,https://www.caifabriano.it/wp/cpc/?wpfb_dl=170,dummy description
173E,Fabriano,E,10:48,2,200,https://www.caifabriano.it/wp/cpc/?wpfb_dl=171,dummy description
174A,Jesi,E,1:30,3^3,396,https://www.caifabriano.it/wp/cpc/?wpfb_dl=173,dummy description
177A,Jesi,E,0:20,1^1,16,https://www.caifabriano.it/wp/cpc/?wpfb_dl=177,dummy description
177B,Jesi,E,0:10,0^8,11,https://www.caifabriano.it/wp/cpc/?wpfb_dl=178,dummy description
178A,Jesi,E,0:45,2^4,163,https://www.caifabriano.it/wp/cpc/?wpfb_dl=180,dummy description
